Receiving time        Device NO        AccelerationX        AccelerationY        AccelerationZ        Angular VelocityX        Angular VelocityY        Angular VelocityZ        AngleX        AngleY        AngleZ        Magnetic FieldX        Magnetic FieldY        Magnetic FieldZ        Temperature        Electric Quantity        Signal        Versions
 2022-05-07 13:13:09.054        WT5300004315        -1.018        -0.368        -0.133        -8.605        99.243        31.311        -117.377        64.055        177.154        217        347        -450        36.97        3.90        -73        13006
 2022-05-07 13:13:09.080        WT5300004430        -0.469        0.541        -0.049        11.474        -30.517        117.248        96.904        65.615        134.577        338        -29        93        36.45        4.01        -65        13006
 2022-05-07 13:13:09.110        WT5300004344        1.093        0.404        -0.092        41.015        -82.641        74.829        97.657        -65.643        -88.824        -570        233        -75        36.39        3.94        -76        13006
 2022-05-07 13:13:09.110        WT5300004357        -1.010        -0.736        -0.041        -86.975        14.160        72.692        -94.531        52.283        139.844        567        -114        -686        38.79        3.98        -74        13006
 2022-05-07 13:13:09.140        WT5300004408        -0.905        0.098        0.039        31.066        -12.817        -1.586        -7.877        82.078        -85.869        413        69        -297        34.90        3.99        -65        13006
 2022-05-07 13:13:09.142        WT5300004331        -0.818        0.657        -0.064        28.747        -15.502        120.910        99.316        48.619        29.871        451        -100        -316        39.54        3.95        -76        13006
 2022-05-07 13:13:09.154        WT5300004315        -0.518        -0.435        -0.225        -169.799        60.791        7.995        -149.122        56.491        154.912        257        353        -347        36.97        3.90        -72        13006
 2022-05-07 13:13:09.183        WT5300004430        -0.833        0.130        -0.115        -0.183        1.220        78.063        94.636        52.932        130.253        323        -114        84        36.43        4.01        -65        13006
 2022-05-07 13:13:09.198        WT5300004344        1.268        0.636        -0.113        -0.976        -81.909        99.548        122.860        -71.564        -117.509        -535        296        -31        36.43        3.94        -76        13006
 2022-05-07 13:13:09.203        WT5300004357        -1.023        -1.033        -0.068        -23.559        14.648        101.989        -101.859        59.831        133.005        575        -160        -665        38.81        3.98        -74        13006
 2022-05-07 13:13:09.238        WT5300004331        -0.850        0.350        -0.022        26.062        13.916        41.503        100.788        42.050        27.608        459        -162        -323        39.51        3.95        -76        13006
 2022-05-07 13:13:09.232        WT5300004408        -0.837        0.059        0.038        -24.780        13.183        -2.929        -4.987        83.298        -81.925        415        67        -298        34.90        3.99        -66        13006
 2022-05-07 13:13:09.252        WT5300004315        -0.611        -0.081        -0.403        67.626        -30.273        -20.324        -148.309        55.684        156.346        262        360        -298        36.98        3.89        -72        13006
 2022-05-07 13:13:09.302        WT5300004344        0.934        0.964        0.161        36.560        -39.733        41.992        149.628        -71.658        -143.585        -494        353        -1        36.40        3.94        -78        13006
